first_name,last_name,position,team,timestamp,type
P.J.,Tucker,"SG,SF",Valar Moredunkis,"Thu, 11 Feb 2016 03:52:55",add
Tyson,Chandler,C,Valar Moredunkis,"Thu, 11 Feb 2016 03:52:55",drop
Kentavious,Caldwell-Pope,SG,Cool Cats,"Thu, 11 Feb 2016 00:55:33",add
Kelly,Olynyk,C,Cool Cats,"Thu, 11 Feb 2016 00:55:33",drop
Jerryd,Bayless,"PG,SG",Cool Cats,"Thu, 11 Feb 2016 00:42:42",add
Joe,Johnson,"SG,SF",Cool Cats,"Thu, 11 Feb 2016 00:42:42",drop
Matt,Barnes,"SG,SF",Thailandia,"Tue, 09 Feb 2016 18:39:17",add
Marc,Gasol,C,Thailandia,"Tue, 09 Feb 2016 18:39:17",drop
Al,Jefferson,"PF,C",Thailandia,"Mon, 08 Feb 2016 09:39:07",add
P.J.,Tucker,"SG,SF",Thailandia,"Mon, 08 Feb 2016 09:39:07",drop
Jose,Calderon,PG,Greendale CC,"Sat, 06 Feb 2016 23:19:15",add
Trey,Burke,PG,Greendale CC,"Sat, 06 Feb 2016 23:19:15",drop
Wesley,Johnson,"SG,SF",D-League All-Stars,"Fri, 05 Feb 2016 01:30:20",add
Kentavious,Caldwell-Pope,SG,D-League All-Stars,"Fri, 05 Feb 2016 01:30:20",drop
Stanley,Johnson,"SG,SF",Thailandia,"Wed, 03 Feb 2016 16:10:21",add
Langston,Galloway,"PG,SG",Thailandia,"Wed, 03 Feb 2016 16:10:21",drop
Evan,Turner,"SG,SF",Triple Double No Ast,"Wed, 03 Feb 2016 15:39:30",add
John,Henson,"PF,C",Triple Double No Ast,"Wed, 03 Feb 2016 15:39:30",drop
Danny,Green,"SG,SF",D-League All-Stars,"Tue, 02 Feb 2016 19:46:01",add
Bobby,Portis,"PF,C",D-League All-Stars,"Tue, 02 Feb 2016 19:46:01",drop
Markieff,Morris,"PF,C",D-League All-Stars,"Tue, 02 Feb 2016 19:44:21",add
Boban,Marjanovic,C,D-League All-Stars,"Tue, 02 Feb 2016 19:44:21",drop
Jeff,Green,"SG,SF",Greendale CC,"Mon, 01 Feb 2016 22:14:16",add
T.J.,Warren,SF,Greendale CC,"Mon, 01 Feb 2016 22:14:16",drop
Boban,Marjanovic,C,D-League All-Stars,"Mon, 01 Feb 2016 20:28:43",add
Ian,Mahinmi,C,D-League All-Stars,"Mon, 01 Feb 2016 20:28:43",drop
Patrick,Beverley,"PG,SG",Adam Silver,"Sat, 30 Jan 2016 22:53:08",add
Danny,Green,"SG,SF",Adam Silver,"Sat, 30 Jan 2016 22:53:08",drop
Langston,Galloway,"PG,SG",Thailandia,"Sat, 30 Jan 2016 11:22:04",add
Eric,Gordon,SG,#Hwaiting,"Sat, 30 Jan 2016 03:24:46",drop
Norris,Cole,"PG,SG",Thailandia,"Fri, 29 Jan 2016 20:36:13",add
Donald,Sloan,"PG,SG",Thailandia,"Fri, 29 Jan 2016 20:36:13",drop
Michael,Kidd-Gilchrist,SF,Triple Double No Ast,"Fri, 29 Jan 2016 17:10:56",add
Allen,Crabbe,"PG,SG",Triple Double No Ast,"Fri, 29 Jan 2016 17:10:56",drop
Danny,Green,"SG,SF",Adam Silver,"Thu, 28 Jan 2016 20:44:48",add
Matt,Barnes,"SG,SF",Adam Silver,"Thu, 28 Jan 2016 20:44:48",drop
Bobby,Portis,"PF,C",D-League All-Stars,"Thu, 28 Jan 2016 17:39:29",add
Nikola,Mirotic,"SF,PF",D-League All-Stars,"Thu, 28 Jan 2016 17:39:29",drop
Gary,Harris,SG,#Hwaiting,"Thu, 28 Jan 2016 17:37:55",add
Gordon,Hayward,"SG,SF",#Hwaiting,"Thu, 28 Jan 2016 17:37:46",add
Marc,Gasol,C,#Hwaiting,"Thu, 28 Jan 2016 17:37:35",add
Eric,Gordon,SG,#Hwaiting,"Thu, 28 Jan 2016 17:37:17",add
Wesley,Matthews,"SG,SF",Thailandia,"Thu, 28 Jan 2016 17:37:03",add
Greg,Monroe,"PF,C",Thailandia,"Thu, 28 Jan 2016 17:36:48",add
Willie,Cauley-Stein,"PF,C",Thailandia,"Thu, 28 Jan 2016 17:36:26",add
Kyrie,Irving,"PG,SG",Thailandia,"Thu, 28 Jan 2016 17:36:11",add
Kyrie,Irving,"PG,SG",#Hwaiting,"Thu, 28 Jan 2016 17:35:47",drop
Greg,Monroe,"PF,C",#Hwaiting,"Thu, 28 Jan 2016 17:35:47",drop
Willie,Cauley-Stein,"PF,C",#Hwaiting,"Thu, 28 Jan 2016 17:35:47",drop
Wesley,Matthews,"SG,SF",#Hwaiting,"Thu, 28 Jan 2016 17:35:47",drop
Gary,Harris,SG,Thailandia,"Thu, 28 Jan 2016 17:35:31",drop
Marc,Gasol,C,Thailandia,"Thu, 28 Jan 2016 17:35:31",drop
Gordon,Hayward,"SG,SF",Thailandia,"Thu, 28 Jan 2016 17:35:31",drop
Eric,Gordon,SG,#Hwaiting,"Thu, 28 Jan 2016 17:29:48",drop
Nikola,Jokic,C,BDD,"Tue, 26 Jan 2016 22:01:38",add
Manu,Ginobili,"SG,SF",BDD,"Tue, 26 Jan 2016 22:01:38",drop
